,title,case_id,case_no,date,year,month,day,top5
1118,Travelers Casualty _ Surety Co. of America v. Pacific Gas _ Elec. Co.,1119,No. 05-1429,2007-01-16,2007,1,16,"fees, attorneys, bankruptcy, reporting, rosenkranz"
1119,Travelers Indemnity Co. v. Bailey,1120,No. 08-295,2009-03-30,2009,3,30,"bankruptcy, order, ostrager, manville, jurisdiction"
1120,Trevino v. Thaler,1121,No. 11-10189,2013-02-25,2013,2,25,"appeal, texas, direct, page, oldham"
1121,"Trinity Lutheran Church of Columbia, Inc. v. Comer",1122,No. 15-577,2017-04-19,2017,4,19,"church, layton, religious, cortman, money"
1122,Trump v. Hawaii,1123,No. 17-965,2018-04-25,2018,4,25,"francisco, heritage, president, corporation, katyal"
1123,TRW Inc. v. Andrews,1124,No. 00-1045,2001-10-09,2001,10,9,"reporting, credit, inc, injury, discovery"
1124,Tuan Anh v. INS,1125,No. 99-2071,2001-01-09,2001,1,9,"citizenship, davis, kneedler, child, born"
1125,Turner v. Rogers,1126,No. 10-10,2011-03-23,2011,3,23,"counsel, waxman, bibas, process, contempt"
1126,Turner v. United States,1127,No. 15-1503,2017-03-29,2017,3,29,"jury, crime, mcmillan, group, williams"
1127,Tyler v. Cain,1128,No. 00-5961,2001-04-16,2001,4,16,"cage, sullivan, retroactive, inc, fourteenth"
1128,"Tyson Foods, Inc. v. Bouaphakeo",1129,No. 141146,2015-11-10,2015,11,10,"phillips, class, frederick, jury, clemens"
1129,"U. S. Bank Nat. Assn. v. Village at Lakeridge, LLC",1130,No. 15-1509,2017-10-31,2017,10,31,"heritage, corporation, arm, test, cross"
1130,Union Pacific R. Co. v. Locomotive Engineers and Trainmen Gen. Comm. of Adjustment,1131,No. 08-604,2009-10-07,2009,10,7,"board, reporting, ballenger, geoghegan, rules"
1131,Unite Here Local 355 v. Mulhall,1132,No. 1299,2013-11-13,2013,11,13,"union, messenger, employer, mccracken, agreement"
1132,"United Dominion Industries, Inc. v. United States",1133,No. 00-157,2001-03-26,2001,3,26,"loss, jones, product, liability, separate"
1133,"United Haulers Assn., Inc. v. Oneida-Herkimer Solid Waste Management Authority",1134,No. 05-1345,2006-01-08,2006,1,8,"tager, commerce, cahill, clause, private"
1134,United States v. Alvarez,1135,No. 11-210,2012-02-22,2012,2,22,"libby, verrilli, harm, medal, false"
1135,"United States v. American Library Assn., Inc.",1136,No. 02-361,2003-03-05,2003,3,5,"library, smith, olson, public, 4th"
1136,United States v. Apel,1137,No. 121038,2013-12-04,2013,12,4,"military, chemerinsky, horwich, easement, road"
1137,United States v. Arvizu,1138,No. 00-1519,2001-11-27,2001,11,27,"schlick, road, border, patrol, agent"
1138,United States v. Atlantic Research Corp.,1139,No. 06-562,2007-04-23,2007,4,23,"settlement, hungar, contribution, section, action"
1139,United States v. Banks,1140,No. 02-473,2003-10-15,2003,10,15,"salmons, roske, seconds, reasonable, circumstances"
1140,United States v. Bean,1141,No. 01-704,2002-10-16,2002,10,16,"secretary, kneedler, goldstein, atf, agency"
1141,United States v. Booker,1142,No. 04-104,2004-10-04,2004,10,4,"guidelines, jury, clement, judge, sentence"
1142,United States v. Bormes,1143,No. 11-192,2012-10-02,2012,10,2,"tucker, jacobs, sovereign, immunity, fcra"
1143,United States v. Bryant,1144,No. 15420,2016-04-19,2016,4,19,"conviction, prelogar, convictions, tribal, counsel"
1144,United States v. Castleman,1145,No. 121371,2014-01-15,2014,1,15,"force, violence, sherry, arbus, domestic"
1145,United States v. Clarke,1146,No. 13301,2014-04-23,2014,4,23,"tax, harrington, irs, reporting, marod"
1146,United States v. Cleveland Indians Baseball Co.,1147,No. 00-203,2001-02-27,2001,2,27,"phillips, feldman, inc, fourteenth, depo"
1147,United States v. Clintwood Elkhorn Mining Co.,1148,No. 07-308,2008-03-24,2008,3,24,"tax, reporting, millett, refund, jay"
1148,United States v. Cotton,1149,No. 01-687,2002-04-15,2002,4,15,"jury, indictment, dreeben, grand, sullivan"
1149,United States v. Craft,1150,No. 00-1831,2002-01-14,2002,1,14,"property, jones, tenancy, lien, interest"
1150,United States v. Davila,1151,No. 12-167,2013-04-15,2013,4,15,"judge, defendant, error, yablon, plea"
1151,United States v. Denedo,1152,No. 08-267,2009-03-25,2009,3,25,"military, freedus, shah, coram, nobis"
1152,United States v. Dominguez Benitez,1153,No. 03-167,2004-04-21,2004,4,21,"mossman, defendant, himmelfarb, plea, company1111"
1153,United States v. Drayton,1154,No. 01-631,2002-04-16,2002,4,16,"spivey, thompson, bus, bostick, test"
1154,United States v. Efrain Santos and Benedicto Diaz,1155,No. 06-1005,2007-10-03,2007,10,3,"money, proceeds, profits, definition, business"
1155,United States v. Eurodif S.A.,1156,No. 07-1059,2008-11-04,2008,11,4,"sale, commerce, halligan, uranium, stewart"
1156,"United States v. Fior D_Italia, Inc.",1157,No. 01-463,2002-04-22,2002,4,22,"tax, power, employer, tips, assessment"
1157,United States v. Flores-Montano.,1158,No. 02-1794,2004-02-25,2004,2,25,"blatt, hubachek, gas, tank, inc"
1158,United States v. Galletti,1159,No. 02-1389,2004-01-12,2004,1,12,"haberbush, jones, partnership, partners, inc"
1159,United States v. Georgia,1160,No. 04-1203,2005-11-09,2005,11,9,"constitutional, company1111, castanias, title, bagenstos"
1160,United States v. Gonzaga Rodriquez,1161,No. 06-1646,2008-01-15,2008,1,15,"offense, maximum, rothfeld, shanmugam, acca"
1161,United States v. Gonzalez-Lopez,1162,No. 05-352,2006-04-18,2006,4,18,"counsel, defendant, dreeben, lawyer, fisher"
1162,"United States v. Graydon Earl Comstock, Jr.",1163,No. 08-1224,2010-01-12,2010,1,12,"dubois, power, kagan, person, custody"
1163,United States v. Grubbs,1164,No. 04-1414,2006-01-18,2006,1,18,"warrant, probable, cause, dreeben, magistrate"
1164,United States v. Hatter,1165,No. 99-1978,2001-02-20,2001,2,20,"judges, tax, rosenthal, wolfson, inc"
1165,United States v. Hayes,1166,No. 07-608,2008-11-10,2008,11,10,"saharsky, giatras, offense, domestic, violence"
1166,"United States v. Home Concrete _ Supply, LLC",1167,No. 11-139,2012-01-17,2012,1,17,"colony, stewart, garre, irs, gross"
1167,United States v. Jicarilla Apache Nation,1168,No. 10-382,2011-04-20,2011,4,20,"trust, trustee, reporting, advice, gordon"
1168,United States v. Jimenez Recio,1169,No. 01-1184,2002-11-12,2002,11,12,"conspiracy, shurtliff, ninth, cruz, drugs"
1169,United States v. Jones,1170,No. 10-1259,2011-11-08,2011,11,8,"leckar, dreeben, police, car, gps"
1170,United States v. June,1171,No. 131075,2014-12-10,2014,12,10,"jurisdictional, prelogar, equitable, claims, tucker"
1171,United States v. Kebodeaux,1172,No. 12-418,2013-04-17,2013,4,17,"power, military, page, dreeben, fuentes"
1172,United States v. Knights,1173,No. 00-1260,2001-11-06,2001,11,6,"probation, stewart, search, fox, page"
1173,United States v. Kwai Fun Wong,1174,No. 131074,2014-12-10,2014,12,10,"tucker, language, martinez, jurisdictional, equitable"
1174,United States v. Lara,1175,No. 03-107,2004-01-21,2004,1,21,"power, indian, kneedler, tribe, tribes"
1175,United States v. Marcus,1176,No. 08-1341,2010-02-24,2010,2,24,"fahringer, error, conduct, jury, post"
1176,United States v. Mead Corp.,1177,No. 99-1434,2000-11-08,2000,11,8,"jones, coll, agency, deference, inc"
1177,United States v. Microsoft Corp.,1178,No. 17-2,2018-02-27,2018,2,27,"dreeben, heritage, corporation, rosenkranz, information"
1178,United States v. Navajo Nation,1179,No. 01-1375,2002-12-02,2002,12,2,"secretary, lease, frye, kneedler, tribe"
1179,United States v. Oakland Cannabis Buyers_ Cooperative,1180,No. 00-151,2001-03-28,2001,3,28,"uelmen, underwood, inc, fourteenth, depo"
1180,United States v. Olson,1181,No. 04-759,2005-10-12,2005,10,12,"private, maynard, cotter, company1111, arizona"
1181,United States v. O_Brien,1182,No. 08-1569,2010-02-23,2010,2,23,"horwich, sentence, years, firearm, maximum"
1182,United States v. Patane,1183,No. 02-1183,2003-12-09,2003,12,9,"miranda, wichlens, dreeben, police, compulsion"
1183,"United States v. Quality Stores, Inc.",1184,No. 121408,2014-01-14,2014,1,14,"wages, payments, fica, reporting, definition"
1184,United States v. Resendiz-Ponce,1185,No. 05-998,2006-10-10,2006,10,10,"jury, indictment, grand, trial, attempt"
1185,United States v. Ressam,1186,No. 07-455,2008-03-25,2008,3,25,"mukasey, hillier, explosives, relationship, felony"
1186,United States v. Ruiz,1187,No. 01-595,2002-04-24,2002,4,24,"defendant, guilty, hubachek, olson, brady"
1187,United States v. Sanchez-Gomez,1188,No. 17-312,2018-03-26,2018,3,26,"kedem, heritage, corporation, cahn, action"
1188,United States v. Stevens,1189,No. 08-769,2009-10-06,2009,10,6,"katyal, first, videos, market, amendment"
1189,United States v. Stitt,1190,No. 17-765,2018-10-09,2018,10,9,"burglary, heritage, reporting, corporation, ross"
1190,United States v. Texas,1191,No. 15674,2016-04-18,2016,4,18,"verrilli, work, action, keller, authorization"
1191,United States v. Tinklenberg,1192,No. 09-1498,2011-02-22,2011,2,22,"trial, delay, motion, days, motions"
1192,United States v. Tohono O_odham Nation,1193,No. 09-846,2010-11-01,2010,11,1,"claims, yang, suit, accounting, spinelli"
1193,"United States v. United Foods, Inc.",1194,No. 00-276,2001-04-17,2001,4,17,"speech, mcdowell, tribe, inc, fourteenth"
1194,United States v. Vonn,1195,No. 00-973,2001-11-06,2001,11,6,"error, record, defendant, dreeben, inc"
1195,United States v. White Mountain Apache Tribe,1196,No. 01-1067,2002-12-02,2002,12,2,"garre, brauchli, trust, use, property"
1196,United States v. Williams,1197,No. 06-694,2007-10-30,2007,10,30,"child, clement, pornography, diaz, problem"
1197,United States v. Windsor,1198,No. 12-307,2013-03-27,2013,3,27,"marriage, clement, house, srinivasan, chadha"
1198,United States v. Woods,1199,No. 12562,2013-10-09,2013,10,9,"partnership, penalty, basis, partner, garre"
1199,United States v. Wurie,1200,No. 13212,2014-04-29,2014,4,29,"phone, mizner, search, cell, dreeben"
1200,"United States, Ex Rel. Eisenstein v. City of New York",1201,No. 08-660,2009-04-21,2009,4,21,"party, days, rephen, schor, appeal"
1201,United States. v. Navajo Nation,1202,No. 07-1410,2009-02-23,2009,2,23,"lease, imla, phillips, secretary, leases"
1202,"United Student Aid Funds, Inc. v. Espinosa",1203,No. 08-1134,2009-12-01,2009,12,1,"bankruptcy, discharge, wanslee, creditor, well"
1203,"Unitherm Food Systems, Inc. v. Swift-Eckrich, Inc.",1204,No. 04-597,2005-11-02,2005,11,2,"motion, trial, schroeder, new, judgment"
1204,"Universal Health Services, Inc. v. United States",1205,No. 157,2016-04-19,2016,4,19,"englert, false, contract, material, services"
1205,University of Tex. Southwestern Medical Center v. Nassar,1206,No. 12-484,2013-04-24,2013,4,24,"retaliation, discrimination, joseffer, title, vii"
1206,Upper Skagit Tribe v. Lundgren,1207,No. 17-387,2018-03-21,2018,3,21,"immunity, tribe, heritage, sovereign, corporation"
1207,"US Airways, Inc. v. Barnett",1208,No. 00-1250,2001-12-04,2001,12,4,"reasonable, center, accommodation, job, seniority"
1208,"US Airways, Inc. v. McCutchen",1209,No. 11-1285,2012-11-27,2012,11,27,"plan, agreement, equity, katyal, equitable"
1209,Utah v. Evans,1210,No. 01,2002-03-27,2002,3,27,"census, lee, imputation, olson, method"
1210,Utah v. Strieff,1211,No. 141373,2016-02-22,2016,2,22,"stop, watt, officer, warrants, warrant"
1211,Utility Air Regulatory Group v. EPA,1212,No. 121146,2014-02-24,2014,2,24,"epa, reporting, pollutant, verrilli, air"
1212,Uttecht v. Brown,1213,No. 06-413,2007-04-17,2007,4,17,"judge, elliott, juror, trial, samson"
1213,Vaden v. Discover Bank,1214,No. 07-773,2008-10-06,2008,10,6,"phillips, section, arbitration, look, jurisdiction"
1214,Van de Kamp v. Goldstein,1215,No. 07-854,2008-11-05,2008,11,5,"reporting, rosenkranz, information, policy, prosecutor"
1215,Van Orden v. Perry,1216,No. 03-1500,2005-03-02,2005,3,2,"commandments, ten, religious, chemerinsky, company1111"
1216,Vance v. Ball State Univ.,1217,No. 11-556,2012-11-26,2012,11,26,"ortiz, authority, seventh, record, davis"
1217,Vartelas v. Holder,1218,No. 10-1211,2012-01-18,2012,1,18,"miller, bibas, guilty, landgraf, conduct"
1218,Vasquez v. United States,1219,No. 11-199,2012-03-21,2012,3,21,"jury, error, yang, brindley, look"
1219,Veneman v. Livestock Marketing Assn.,1220,No. 03-1164,2004-12-08,2004,12,8,"tribe, speech, kneedler, beef, company1111"
1220,Verizon Comm. Inc. v. Law Offices of Curtis V. Trinko LLP,1221,No. 02-682,2003-10-14,2003,10,14,"antitrust, verrilli, section, competition, service"
1221,"Verizon Communications, Inc. v. FCC",1222,No. 00-511,2001-10-10,2001,10,10,"barr, rate, cost, fourteenth, depo"
1222,Verizon Md. Inc. v. Public Serv. Comm_n of Md.,1223,No. 00-1531,2001-12-05,2001,12,5,"miller, commission, contract, jurisdiction, mcdowell"
1223,Vermont v. Brillon,1224,No. 08-88,2009-01-13,2009,1,13,"lawyer, trial, counsel, nelson, vermont"
1224,Vieth v. Jubelirer,1225,No. 02-1580,2003-12-10,2003,12,10,"smith, inc, krill, delone, political"
1225,Virginia Office for Protection and Advocacy v. Stewart,1226,No. 09-529,2010-12-01,2010,12,1,"reporting, agency, galanter, sue, getchell"
1226,Virginia v. Black,1227,No. 01-1107,2002-12-11,2002,12,11,"smolla, cross, hurd, threat, symbol"
1227,Virginia v. Hicks,1228,No. 02-371,2003-04-30,2003,4,30,"benjamin, hurd, floor, virginia, supreme"
1228,Virginia v. Maryland,1229,No. 129,2003-10-07,2003,10,7,"virginia, maryland, baida, raphael, river"
1229,Virginia v. Moore,1230,No. 06-1082,2008-01-14,2008,1,14,"arrest, search, mccullough, goldstein, virginia"
1230,Voisine v. United States,1231,No. 1410154,2016-02-29,2016,2,29,"villa, use, force, battery, eisenstein"
1231,"Volvo Trucks North America, Inc. v. Reeder-Simco GMC, Inc.",1232,No. 04-905,2005-10-31,2005,10,31,"phillips, competition, stevens, company1111, dealer"
1232,"Wachovia Bank, N.A. v. Schmidt",1233,No. 04-1186,2005-11-28,2005,11,28,"national, place, company1111, bank, frey"
1233,Waddington v. Sarausad,1234,No. 07-772,2008-10-15,2008,10,15,"jury, collins, prosecutor, crime, fisher"
1234,Wagnon v. Prairie Band Potawatomi Nation,1235,No. 04-631,2005-10-03,2005,10,3,"tax, distributor, olson, gershengorn, tribe"
1235,"Wal-Mart Stores, Inc. v. Dukes",1236,No. 10-277,2011-03-29,2011,3,29,"sellers, policy, boutrous, class, discrimination"
1236,Walden v. Fiore,1237,No. 12574,2013-11-04,2013,11,4,"nevada, goldstein, money, california, jurisdiction"
1237,Walker v. Martin,1238,No. 09-996,2010-11-29,2010,11,29,"california, marshall, delay, years, supreme"
1238,"Walker v. Texas Div., Sons of Confederate Veterans, Inc.",1239,No. 14144,2015-03-23,2015,3,23,"speech, george, texas, keller, license"
1239,Wall v. Kholi,1240,No. 09-868,2010-11-29,2010,11,29,"weisman, sentence, mizner, collateral, motion"
1240,Wallace v. Kato,1241,No. 05-1240,2006-11-06,2006,11,6,"flaxman, criminal, amendment, action, solomon"
1241,Warger v. Shauers,1242,No. 13517,2014-10-08,2014,10,8,"verdict, jury, shanmugam, juror, inquiry"
1242,Warner-Lambert Co. v. Kent,1243,No. 06-1498,2008-02-25,2008,2,25,"fda, drug, phillips, zieve, michigan"
1243,Washington Legal Foundation v. Legal Foundation of Wash.,1244,No. 01-1325,2002-12-09,2002,12,9,"interest, money, burman, property, compensation"
1244,Washington State Dept. of Social and Health Servs. v. Guardianship Estate of Keffeler,1245,No. 01-1420,2002-12-03,2002,12,3,"social, benefits, security, child, roseborough"
1245,Washington State Grange v. Washington State Republican Party,1246,No. 06-713,2007-10-01,2007,10,1,"party, ballot, mckenna, preference, candidate"
1246,Washington v. Recuenco,1247,No. 05-83,2006-04-17,2006,4,17,"jury, firearm, weapon, link, verdict"
1247,Washington v. United States,1248,No. 17-269,2018-04-18,2018,4,18,"heritage, purcell, corporation, fish, treaty"
1248,Watchtower Bible _ Tract Soc. of N. Y. v. Village of Stratton,1249,No. 00-1737,2002-02-26,2002,2,26,"door, polidoro, cantor, village, ordinance"
1249,"Water Splash, Inc. v. Menon",1250,No. 16-254,2017-03-22,2017,3,22,"service, mail, treaty, texas, hootman"
1250,Watson v. Phillip Morris Co.,1251,No. 05-1284,2007-04-25,2007,4,25,"ftc, test, olson, frederick, officer"
1251,"Watters v. Wachovia Bank, N. A.",1252,No. 05-1342,2006-11-29,2006,11,29,"bank, national, blanchard, reporting, subsidiary"
1252,Weaver v. Massachusetts,1253,No. 16-240,2017-04-19,2017,4,19,"error, trial, structural, prejudice, jury"
1253,Welch v. United States,1254,No. 156418,2016-03-30,2016,3,30,"clause, johnson, substantive, walker, residual"
1254,Wellness Int_l Network Ltd. v. Sharif,1255,No. 13935,2015-01-14,2015,1,14,"bankruptcy, consent, property, hacker, stern"
1255,WesternGeco LLC v. ION Geophysical Corp.,1256,No. 16-1011,2018-04-16,2018,4,16,"damages, corporation, foreign, clement, petitioner"
1256,Weyerhaeuser Co. v. Ross-Simmons Hardwood Lumber Co.,1257,No. 05-381,2006-11-28,2006,11,28,"reporting, group, haglund, pincus, price"
1257,Weyerhaeuser Co. v. United States Fish and Wildlife Serv.,1258,No. 17-71,2018-10-01,2018,10,1,"habitat, kneedler, heritage, reporting, corporation"
1258,Weyhrauch v. United States,1259,No. 08-1196,2009-12-08,2009,12,8,"dreeben, duty, ayer, disclose, theory"
1259,"Wharf (Holdings) Ltd. v. United Int_l Holdings, Inc.",1260,No. 00-347,2001-03-21,2001,3,21,"option, contract, cohen, inc, fourteenth"
1260,White v. Woodall,1261,No. 12794,2013-12-11,2013,12,11,"instruction, mitchell, lenz, komp, estelle"
1261,Whitfield v. United States,1262,No. 139026,2014-12-02,2014,12,2,"reporting, bank, carpenter, movement, person"
1262,Whitman v. Department of Transportation,1263,No. 04-1131,2005-12-05,2005,12,5,"karlan, stewart, judicial, constitutional, action"
1263,Whole Woman_s Health v. Hellerstedt,1264,No. 15274,2016-03-02,2016,3,2,"reporting, keller, abortion, texas, toti"
1264,Whorton v. Bockting,1265,No. 05-595,2006-11-01,2006,11,1,"crawford, teague, forsman, decision, crossexamination"
1265,Wiggins v. Smith,1266,No. 02-311,2003-03-24,2003,3,24,"bair, floor, counsel, reports, social"
1266,Wilkie v. Robbins,1267,No. 06-219,2007-03-19,2007,3,19,"garre, tribe, bivens, action, property"
1267,Wilkinson v. Austin,1268,No. 04-495,2005-03-30,2005,3,30,"lobel, petro, policy, reporting, company1111"
1268,Wilkinson v. Dotson,1269,No. 03-287,2004-12-06,2004,12,6,"habeas, parole, cole, lewis, claims"
1269,Will v. Hallock,1270,No. 04-1332,2005-11-28,2005,11,28,"hallwarddriemeier, bar, judgment, suit, company1111"
1270,Williams v. Illinois,1271,No. 10-8505,2011-12-06,2011,12,6,"cellmark, carroll, testimony, alvarez, expert"
1271,Williams v. Pennsylvania,1272,No. 155040,2016-02-29,2016,2,29,"lev, eisenberg, judge, decision, process"
1272,Williams-Yulee v. Florida Bar,1273,No. 131499,2015-01-20,2015,1,20,"judge, richard, judges, interest, money"
1273,"Williamson v. Mazda Motor of America, Inc.",1274,No. 08-1314,2010-11-03,2010,11,3,"agency, safety, garre, geier, buchanan"
1274,Wilson v. Sellers,1275,No. 16-6855,2017-10-30,2017,10,30,"olive, heritage, decision, corporation, georgia"
1275,Winkelman v. Parma City School Distr.,1276,No. 05-98311,2007-02-27,2007,2,27,"parents, child, bergeron, reporting, parent"
1276,"Winter v. Natural Resources Defense Council, Inc.",1277,No. 07-1239,2008-10-08,2008,10,8,"garre, navy, environmental, kendall, harm"
1277,Wisconsin Central Ltd. v. United States,1278,No. 17-530,2018-04-16,2018,4,16,"stock, money, dupree, heritage, corporation"
1278,Wisconsin Dept. of Health and Family Servs. v. Blumer,1279,No. 00-952,2001-12-03,2001,12,3,"income, spouse, community, hagopian, flanagan"
1279,"Wisconsin Right to Life, Inc. v. Federal Election Comm_n",1280,No. 04-1581,2006-01-17,2006,1,17,"bopp, ads, clement, well, election"
1280,Wittman v. Personhuballah,1281,No. 141504,2016-03-21,2016,3,21,"carvin, race, percent, kagan, legislature"
1281,Wood v. Allen,1282,No. 08-9156,2009-11-04,2009,11,4,"scanlon, reporting, maze, decision, unreasonable"
1282,Wood v. Milyard,1283,No. 10-9995,2012-02-27,2012,2,27,"lord, day, domenico, waiver, appeals"
1283,Wood v. Moss,1284,No. 13115,2014-03-26,2014,3,26,"gershengorn, wilker, security, president, service"
1284,Woodford v. Garceau,1285,No. 01-1862,2003-01-21,2003,1,21,"aedpa, mclean, coffin, petition, habeas"
1285,Woodford v. Ngo,1286,No. 05-416,2006-03-22,2006,3,22,"exhaustion, feder, administrative, prisoner, prison"
1286,Wyeth v. Levine,1287,No. 06-1249,2008-11-03,2008,11,3,"fda, information, frederick, label, reporting"
1287,Yarborough v. Alvarado,1288,No. 02-1684,2004-03-01,2004,3,1,"person, reasonable, inc, custody, parents"
1288,Yates v. United States,1289,No. 137451,2014-11-05,2014,11,5,"martinez, badalamenti, tangible, object, fish"
1289,Yeager v. United States,1290,No. 08-67,2009-03-23,2009,3,23,"jury, counts, dreeben, count, buffone"
1290,"Yellow Transp. Inc. v. Michigan, et al",1291,No. 01-270,2002-10-07,2002,10,7,"michigan, fee, reciprocity, casey, trucks"
1291,"Young v. United Parcel Service, Inc.",1292,No. 121226,2014-12-03,2014,12,3,"halligan, pregnancy, pregnant, policy, employees"
1292,Young v. United States,1293,No. 00-1567,2002-01-09,2002,1,9,"clark, bankruptcy, millett, chapter, period"
1293,Ysursa v. Pocatello Ed. Assn.,1294,No. 07-869,2008-11-03,2008,11,3,"smith, reporting, collins, local, political"
1294,Zadvydas v. Underdown,1295,No. 99-7791,2001-02-21,2001,2,21,"kneedler, fourteenth, inc, depo, barnard"
1295,Zedner v. United States,1296,No. 05-5992,2006-04-18,2006,4,18,"defendant, zas, waiver, joseffer, trial"
1296,Zelman v. Simmons-Harris,1297,No. 00-1751,2002-02-20,2002,2,20,"schools, school, program, chanin, inc"
1297,Ziglar v. Abbasi,1298,No. 15-1358,2017-01-18,2017,1,18,"policy, conditions, bivens, gershengorn, fbi"
1298,Zivotofsky v. Clinton,1299,No. 10-699,2011-11-07,2011,11,7,"president, lewin, verrilli, power, passport"
1299,Zivotofsky v. Kerry,1300,No. 13628,2014-11-03,2014,11,3,"lewin, recognition, president, verrilli, position"
1300,Zubik v. Burwell,1301,No. 141418,2016-03-23,2016,3,23,"verrilli, religious, coverage, plan, employees"
1301,Zuni Public School Dist. v. Department of Education,1302,No. 05-1508,2007-01-10,2007,1,10,"srinivasan, amberg, secretary, revenues, school"
