,title,case_id,case_no,date,year,month,day,top5
961,"Roberts v. Sea-Land Services, Inc.",962,No. 10-1399,2012-01-11,2012,1,11,"award, gillelan, compensation, employer, maximum"
962,Robertson v. United States ex rel. Watson,963,No. 08-6261,2010-03-31,2010,3,31,"long, united, private, frankfurt, criminal"
963,Rockwell International Corp. v. United States,964,No. 05-1272,2006-12-05,2006,12,5,"relator, pondcrete, mahoney, rockwell, stone"
964,Rodriguez v. United States,965,No. 139972,2015-01-21,2015,1,21,"dog, traffic, sniff, anders, officer"
965,Roell v. Withrow,966,No. 02-69,2003-02-26,2003,2,26,"consent, eskow, magistrate, judge, parties"
966,Rogers v. Tennessee,967,No. 99-6218,2000-11-01,2000,11,1,"moore, post, facto, supreme, change"
967,Rompilla v. Beard,968,No. 04-5462,2005-01-18,2005,1,18,"nolas, page, counsel, company1111, zapp"
968,Roper v. Simmons,969,No. 03-633,2004-10-13,2004,10,13,"layton, company1111, age, jury, line"
969,Roper v. Weaver,970,No. 06-313,2007-03-21,2007,3,21,"blume, spillars, prosecutor, penalty, death"
970,Rosales-Mireles v. United States,971,No. 16-9493,2018-02-21,2018,2,21,"error, heritage, corporation, ellis, davidson"
971,Rosemond v. United States,972,No. 12895,2013-11-12,2013,11,12,"gun, elwood, crime, intent, facilitate"
972,Ross v. Blake,973,No. 15339,2016-03-29,2016,3,29,"reporting, available, arp, iiu, bernhardt"
973,Rothgery v. Gillespie County,974,No. 07-440,2008-03-17,2008,3,17,"counsel, spinelli, coleman, texas, trial"
974,Rousey v. Jocaway,975,No. 03-1407,2004-12-01,2004,12,1,"karlan, ira, money, mckiever, plan"
975,Rowe v. New Hampshire Motor Transp. Assn.,976,No. 06-457,2007-11-28,2007,11,28,"stern, tobacco, maine, service, carrier"
976,Rubin v. Islamic Republic of Iran,977,No. 16-534,2017-12-04,2017,12,4,"property, heritage, perlin, corporation, section"
977,"Rumsfeld v. Forum for Academic and Institutional Rights, Inc.",978,No. 04-1152,2005-12-06,2005,12,6,"rosenkranz, clement, military, company1111, speech"
978,Rumsfeld v. Padilla,979,No. 03-1027,2004-04-28,2004,4,28,"company1111, martinez, clement, jurisdiction, war"
979,"Rush Prudential HMO, Inc. v. Moran",980,No. 00-1021,2002-01-16,2002,1,16,"plan, remedy, insurance, albers, life"
980,Ryan v. Valencia Gonzales,981,No. 10-930,2012-10-09,2012,10,9,"marquez, horne, months, oconnell, client"
981,S. D. Warren Co. v. Maine Bd. of Environmental Protection,982,No. 04-1527,2006-02-21,2006,2,21,"water, discharge, kayatta, river, rowe"
982,Sabri v. United States,983,No. 03-44,2004-03-03,2004,3,3,"dreeben, birrell, inc, commerce, clause"
983,Sackett v. EPA,984,No. 10-1062,2012-01-09,2012,1,9,"order, compliance, stewart, epa, schiff"
984,Safeco Ins. Co. of America v. Burr,985,No. 06-84,2007-01-16,2007,1,16,"shorr, mahoney, credit, increase, standard"
985,Safford Unified School Dist. #1 v. Redding,986,No. 08-479,2009-04-21,2009,4,21,"wright, search, wolf, school, student"
986,Salazar v. Buono,987,No. 08-472,2009-10-07,2009,10,7,"injunction, memorial, cross, kagan, eliasberg"
987,Salazar v. Ramah Navajo Chapter,988,No. 11-551,2012-04-18,2012,4,18,"freeman, phillips, contract, ferris, money"
988,Salinas v. Texas,989,No. 12-246,2013-04-17,2013,4,17,"answer, police, curry, want, defendant"
989,Salman v. United States,990,No. 15-628,2016-10-05,2016,10,5,"information, dreeben, insider, shapiro, dirks"
990,Samantar v. Yousuf,991,No. 08-1555,2010-03-03,2010,3,3,"immunity, foreign, reporting, dvoretzky, sovereign"
991,Samson v. California,992,No. 04-9728,2006-02-22,2006,2,22,"long, search, parole, california, amendment"
992,"Samsung Electronics Co., v. Apple Inc.",993,No. 15-777,2016-10-11,2016,10,11,"article, design, manufacture, jury, profits"
993,"San Remo Hotel, L. P. v. City and County of San Francisco",994,No. 04-340,2005-03-28,2005,3,28,"utrecht, preclusion, company1111, california, county"
994,Sanchez-Llamas v. Oregon,995,No. 04-10566,2006-03-29,2006,3,29,"treaty, rights, gartlan, stancil, counsel"
995,Sandifer v. United States Steel Corp.,996,No. 12417,2013-11-04,2013,11,4,"clothes, schnapper, things, agreement, work"
996,Sandoz Inc. v. Amgen Inc.,997,No. 15-1039,2017-04-26,2017,4,26,"maynard, notice, fda, waxman, patent"
997,SAS Institute Inc. v. Matal,998,No. 16-969,2017-11-27,2017,11,27,"board, castanias, claims, heritage, corporation"
998,Sattazahn v. Pennsylvania,999,No. 01-7574,2002-11-04,2002,11,4,"jury, life, pennsylvania, sentence, dunham"
999,Saucier v. Katz,1000,No. 99-1977,2001-03-20,2001,3,20,"jury, immunity, clement, officer, force"
1000,"SCA Hygiene Products Aktiebolag v. First Quality Baby Products, LLC",1001,No. 15-927,2016-11-01,2016,11,1,"patent, laches, damages, black, equity"
1001,Scarborough v. Principi,1002,No. 02-1657,2004-02-23,2004,2,23,"wolfman, inc, fee, application, position"
1002,Schaffer v. Weast,1003,No. 04-698,2005-10-05,2005,10,5,"burden, school, garre, parents, company1111"
1003,"Scheidler v. National Organization for Women, Inc.",1004,No. 04-1244,2005-11-30,2005,11,30,"chemerinsky, violence, company1111, hobbs, untereiner"
1004,Schindler Elevator Corp. v. United States ex rel. Kirk,1005,No. 10-188,2011-03-01,2011,3,1,"report, foia, documents, response, agency"
1005,Schriro v. Landrigan,1006,No. 05-1575,2007-01-09,2007,1,9,"cattani, waiver, verrilli, mitigation, landrigan"
1006,Schriro v. Summerlin,1007,No. 03-526,2004-04-19,2004,4,19,"company1111, teague, substantive, todd, murray"
1007,Schuette v. BAMN,1008,No. 12682,2013-10-15,2013,10,15,"seattle, race, bursch, racial, rosenbaum"
1008,Schwab v. Reilly,1009,No. 08-538,2009-11-03,2009,11,3,"trustee, debtor, property, value, brunstad"
1009,Schwarzenegger v. Entertainment Merchants Assn.,1010,No. 08-1448,2010-11-02,2010,11,2,"morazzini, reporting, video, games, minors"
1010,Schwarzenegger v. Plata,1011,No. 09-1233,2010-11-30,2010,11,30,"specter, phillips, receiver, years, order"
1011,Scott v. Harris,1012,No. 05-1631,2007-02-26,2007,2,26,"jones, savrin, scott, garner, harris"
1012,Sebelius v. Auburn Regional Medical Center,1013,No. 11-1231,2012-12-04,2012,12,4,"roth, equitable, secretary, kneedler, agency"
1013,Sebelius v. Cloer,1014,No. 12-236,2013-03-19,2013,3,19,"page, petition, horwich, fees, fishman"
1014,"Sebelius v. Hobby Lobby Stores, Inc.",1015,No. 13354,2014-03-25,2014,3,25,"verrilli, clement, religious, rfra, interest"
1015,SEC v. Edwards,1016,No. 02-1196,2003-11-04,2003,11,4,"investment, wolensky, return, contract, inc"
1016,SEC v. Zandford,1017,No. 01-147,2002-03-18,2002,3,18,"goldblatt, broker, sale, sec, securities"
1017,Sekhar v. United States,1018,No. 12-357,2013-04-23,2013,4,23,"property, harrington, clement, extortion, new"
1018,Seling v. Young,1019,No. 99-1185,2000-10-31,2000,10,31,"hart, boruchowitz, civil, treatment, hendrix"
1019,Sell v. United States,1020,No. 02-5664,2003-03-03,2003,3,3,"short, dreeben, trial, floor, order"
1020,Semtek International Inc. v. Lockheed Martin Corp.,1021,No. 99-1551,2000-12-05,2000,12,5,"gottesman, california, inc, fourteenth, depo"
1021,"Sereboff v. Mid Atlantic Medical Services, Inc.",1022,No. 05-260,2006-03-28,2006,3,28,"equitable, plan, stris, contract, equity"
1022,Sessions v. Dimaya,1023,No. 15-1498,2017-10-02,2017,10,2,"kneedler, heritage, reporting, crime, corporation"
1023,Setser v. United States,1024,No. 10-7387,2011-11-30,2011,11,30,"sentence, judge, bureau, prisons, young"
1024,"Shady Grove Orthopedic Associates, P.A. v. Allstate Ins. Co.",1025,No. 08-1008,2009-11-02,2009,11,2,"action, class, new, york, landau"
1025,Shafer v. South Carolina,1026,No. 00-5250,2001-01-09,2001,1,9,"jury, simmons, zelenka, dangerousness, carolina"
